reaction	linear_coefficient
2AGPEAT160	[0.1397802106511936, 0.012150422934764737, 0.1452421845701366, 0.021810373811851757, 0.14275119535013023, 0.025189708029082238, 0.14096792560681579, 0.031144690073349458, 0.14064172714683013, 0.03960069827166043, 0.14074876351981389, 0.018078066416326675, 0.14299679667708348, 0.04623855297921672, 0.13864258551074485, 0.021418846218503245, 0.1415530581270112, 0.007257876767120555, 0.13450820555844187, 0.0068188976376935655, 0.14043237445677648, 0.007673929922616781, 0.1391029529211648, 0.01318993507608877, 0.13984267226722927, 0.015557929039047732, 0.1335620599334081, 0.017371978788498353, 0.13617490260469348, 0.00821391192872096, 0.13986700191787665, 0.007394402357865066, 0.13877050053620954, 0.00797510030975628]
2AGPEAT161	[0.1397802106511936, 0.012150422934764737, 0.1452421845701366, 0.021810373811851757, 0.14275119535013023, 0.025189708029082238, 0.14096792560681579, 0.031144690073349458, 0.14064172714683013, 0.03960069827166043, 0.14074876351981389, 0.018078066416326675, 0.14299679667708348, 0.04623855297921672, 0.13864258551074485, 0.021418846218503245, 0.1415530581270112, 0.007257876767120555, 0.13450820555844187, 0.0068188976376935655, 0.14043237445677648, 0.007673929922616781, 0.1391029529211648, 0.01318993507608877, 0.13984267226722927, 0.015557929039047732, 0.1335620599334081, 0.017371978788498353, 0.13617490260469348, 0.00821391192872096, 0.13986700191787665, 0.007394402357865066, 0.13877050053620954, 0.00797510030975628]
2AGPEAT180	[0.1397802106511936, 0.012150422934764737, 0.1452421845701366, 0.021810373811851757, 0.14275119535013023, 0.025189708029082238, 0.14096792560681579, 0.031144690073349458, 0.14064172714683013, 0.03960069827166043, 0.14074876351981389, 0.018078066416326675, 0.14299679667708348, 0.04623855297921672, 0.13864258551074485, 0.021418846218503245, 0.1415530581270112, 0.007257876767120555, 0.13450820555844187, 0.0068188976376935655, 0.14043237445677648, 0.007673929922616781, 0.1391029529211648, 0.01318993507608877, 0.13984267226722927, 0.015557929039047732, 0.1335620599334081, 0.017371978788498353, 0.13617490260469348, 0.00821391192872096, 0.13986700191787665, 0.007394402357865066, 0.13877050053620954, 0.00797510030975628]
12DGR140tipp	[0.25409129675257863, 0.012868076096453974, 0.2549234971695438, 0.022245911143673386, 0.24849435899182193, 0.009613980849810091, 0.25229709083360713, 0.009355297187208981, 0.2543165171943884, 0.010714586721140769, 0.2521995309735522, 0.006001898796669502, 0.2521434310625493, 0.01405839031573089, 0.2534334315328033, 0.005638110622423403, 0.2532317416826812, 0.003412281647311201, 0.24870453863263156, 0.0032355315492281654, 0.2501259221728128, 0.003883574168763218, 0.2505511181841171, 0.004618256371938015, 0.2542694803264102, 0.0057621711268086885, 0.2521934506056733, 0.006149283490576396, 0.24869948766013467, 0.0035911966226036046, 0.2566075730382721, 0.00352812437146197, 0.25392656231846367, 0.0033191697273120538]
2AGPEAT181	[0.1397802106511936, 0.012150422934764737, 0.1452421845701366, 0.021810373811851757, 0.14275119535013023, 0.025189708029082238, 0.14096792560681579, 0.031144690073349458, 0.14064172714683013, 0.03960069827166043, 0.14074876351981389, 0.018078066416326675, 0.14299679667708348, 0.04623855297921672, 0.13864258551074485, 0.021418846218503245, 0.1415530581270112, 0.007257876767120555, 0.13450820555844187, 0.0068188976376935655, 0.14043237445677648, 0.007673929922616781, 0.1391029529211648, 0.01318993507608877, 0.13984267226722927, 0.015557929039047732, 0.1335620599334081, 0.017371978788498353, 0.13617490260469348, 0.00821391192872096, 0.13986700191787665, 0.007394402357865066, 0.13877050053620954, 0.00797510030975628]
3OAS121	[0.2509936600130159, 0.00472271271128113, 0.254565380701542, 0.00765541052764869, 0.24657418095630237, 0.0037642733571422713, 0.2502007020591691, 0.003792047939683751, 0.2535265991773151, 0.004039821515268478, 0.24654675270373033, 0.0023602313843255887, 0.25178800313260885, 0.003986463710733106, 0.2534334315328033, 0.002764686283792939, 0.2532317416826812, 0.0016714624965258281, 0.2430855012814879, 0.001384125736854376, 0.24463964539046973, 0.0016877190325163235, 0.2505511181841171, 0.001502575647939651, 0.2542694803264102, 0.001690386040707481, 0.2501264261162216, 0.001924164582045398, 0.24528965174936376, 0.0016799563447802944, 0.24904655172351026, 0.0015831256298358722, 0.25084493757306464, 0.0010405696388102591]
2AGPG120tipp	[0.2509936600130159, 0.03789623011036613, 0.254565380701542, 0.10603240535285999, 0.24849435899182193, 0.057092932025238456, 0.2502007020591691, 0.056668671574726784, 0.2535265991773151, 0.05195611471657297, 0.2521995309735522, 0.10719376348860889, 0.25178800313260885, 0.2426946958543597, 0.2534334315328033, 0.06375334885388839, 0.25012219709244804, 0.01727634390971984, 0.24870453863263156, 0.02087934362291018, 0.2501259221728128, 0.021714646789656056, 0.25004914455195737, 0.01903717150331858, 0.2542694803264102, 0.02613012490562093, 0.2501264261162216, 0.026096805046156704, 0.24735518002717571, 0.019339505741090796, 0.24904655172351026, 0.021981892920060798, 0.25084493757306464, 0.023855413562923165]
2AGPG140tipp	[0.2509936600130159, 0.03789623011036613, 0.254565380701542, 0.10603240535285999, 0.24849435899182193, 0.057092932025238456, 0.2502007020591691, 0.056668671574726784, 0.2535265991773151, 0.05195611471657297, 0.2521995309735522, 0.10719376348860889, 0.25178800313260885, 0.2426946958543597, 0.2534334315328033, 0.06375334885388839, 0.25012219709244804, 0.01727634390971984, 0.24870453863263156, 0.02087934362291018, 0.2501259221728128, 0.021714646789656056, 0.25004914455195737, 0.01903717150331858, 0.2542694803264102, 0.02613012490562093, 0.2501264261162216, 0.026096805046156704, 0.24735518002717571, 0.019339505741090796, 0.24904655172351026, 0.021981892920060798, 0.25084493757306464, 0.023855413562923165]
12DGR141tipp	[0.25409129675257863, 0.012868076096453974, 0.2549234971695438, 0.022245911143673386, 0.24849435899182193, 0.009613980849810091, 0.25229709083360713, 0.009355297187208981, 0.2543165171943884, 0.010714586721140769, 0.2521995309735522, 0.006001898796669502, 0.2521434310625493, 0.01405839031573089, 0.2534334315328033, 0.005638110622423403, 0.2532317416826812, 0.003412281647311201, 0.24870453863263156, 0.0032355315492281654, 0.2501259221728128, 0.003883574168763218, 0.2505511181841171, 0.004618256371938015, 0.2542694803264102, 0.0057621711268086885, 0.2521934506056733, 0.006149283490576396, 0.24869948766013467, 0.0035911966226036046, 0.2566075730382721, 0.00352812437146197, 0.25392656231846367, 0.0033191697273120538]
12DGR160tipp	[0.25409129675257863, 0.012868076096453974, 0.2549234971695438, 0.022245911143673386, 0.24849435899182193, 0.009613980849810091, 0.25229709083360713, 0.009355297187208981, 0.2543165171943884, 0.010714586721140769, 0.2521995309735522, 0.006001898796669502, 0.2521434310625493, 0.01405839031573089, 0.2534334315328033, 0.005638110622423403, 0.2532317416826812, 0.003412281647311201, 0.24870453863263156, 0.0032355315492281654, 0.2501259221728128, 0.003883574168763218, 0.2505511181841171, 0.004618256371938015, 0.2542694803264102, 0.0057621711268086885, 0.2521934506056733, 0.006149283490576396, 0.24869948766013467, 0.0035911966226036046, 0.2566075730382721, 0.00352812437146197, 0.25392656231846367, 0.0033191697273120538]
