gene	transcript_abund
KPN_00702	39.769
KPN_00703	267.087
KPN_00704	54.005
KPN_00705	95.631
KPN_00706	183.061
KPN_00707	135.246
KPN_00708	71.337
KPN_00709	149.946
KPN_00710	146.078
KPN_00711	540.518
KPN_00712	88.977
KPN_00713	150.256
KPN_00714	378.347
KPN_00715	82.323
KPN_00716	256.41
KPN_00717	209.368
KPN_00718	50.292
KPN_00719	255.017
KPN_00720	245.113
KPN_00721	178.728
KPN_00722	158.921
KPN_00723	227.473
KPN_00724	183.526
KPN_00725	153.041
KPN_00726	158.148
KPN_00727	343.84
KPN_00728	69.17
KPN_00729	87.12
KPN_00730	437.459
KPN_00731	178.574
KPN_00732	698.666
KPN_00733	306.701
KPN_00734	304.999
KPN_00735	217.879
KPN_00736	392.893
KPN_00737	285.811
KPN_00738	29.711
KPN_00739	72.575
KPN_00740	101.666
KPN_00741	172.384
KPN_00742	109.403
KPN_00743	326.044
KPN_00744	507.867
KPN_00745	324.497
KPN_00746	295.25
KPN_00754	218.343
KPN_00755	162.79
KPN_00756	187.394
KPN_00757	90.525
KPN_00758	304.225
KPN_00759	78.764
KPN_00760	66.54
KPN_00761	102.131
KPN_00762	106.309
KPN_00763	110.487
KPN_00764	154.434
KPN_00765	219.426
KPN_00766	158.302
KPN_00767	84.026
KPN_00768	460.671
KPN_00769	15.32
KPN_00770	179.657
KPN_00771	234.281
KPN_00772	250.375
KPN_00773	250.22
KPN_00774	308.558
KPN_00775	133.853
KPN_00776	36.365
KPN_00777	135.246
KPN_00778	108.32
KPN_00779	157.529
KPN_00780	163.409
KPN_00781	268.17
KPN_00782	298.19
KPN_00783	183.99
KPN_00784	132.924
KPN_00785	123.021
KPN_00786	655.492
KPN_00787	230.877
KPN_00788	23.83
KPN_00789	105.071
KPN_00790	661.682
KPN_00791	313.355
KPN_00792	170.837
KPN_00793	133.389
KPN_00794	139.578
KPN_00795	231.805
KPN_00796	214.474
KPN_00797	175.169
KPN_00798	109.403
KPN_00799	315.831
KPN_00800	250.065
KPN_00801	257.648
KPN_00802	136.948
KPN_00803	153.97
KPN_00804	496.881
KPN_00805	19.962
KPN_00806	165.421
KPN_00807	113.272
KPN_00808	250.684
KPN_00809	213.236
KPN_00810	243.566
KPN_00811	119.771
KPN_00812	117.141
KPN_00813	47.661
KPN_00814	104.142
KPN_00815	176.872
KPN_00816	214.784
KPN_00817	298.964
KPN_00818	180.431
KPN_00819	108.32
KPN_00820	237.686
KPN_00821	211.225
KPN_00822	421.211
KPN_00823	241.554
KPN_00824	159.231
KPN_00825	137.412
KPN_00826	178.264
KPN_00827	103.214
KPN_00828	122.092
KPN_00829	146.232
KPN_00830	331.46
KPN_00831	395.679
KPN_00832	171.146
KPN_00833	63.135
KPN_00834	44.102
KPN_00835	140.352
KPN_00836	144.994
KPN_00837	336.102
KPN_00838	180.276
KPN_00839	163.409
KPN_00840	189.251
KPN_00841	137.876
KPN_00842	149.482
KPN_00843	724.663
KPN_00844	390.572
KPN_00845	104.606
KPN_00846	248.982
KPN_00847	208.903
KPN_00848	116.522
KPN_00849	226.08
KPN_00850	183.216
KPN_00851	389.334
KPN_00852	393.976
KPN_00853	174.705
KPN_00854	166.504
KPN_00855	179.966
KPN_00856	164.492
KPN_00857	315.522
KPN_00858	112.034
KPN_00859	168.206
KPN_00860	297.417
KPN_00861	229.33
KPN_00862	383.918
KPN_00863	379.43
KPN_00864	216.176
KPN_00865	176.253
KPN_00866	292.774
KPN_00867	161.552
KPN_00868	105.844
KPN_00869	267.861
KPN_00870	131.996
KPN_00871	296.333
KPN_00872	182.288
KPN_00873	145.149
KPN_00874	210.296
KPN_00875	196.214
KPN_00876	291.536
KPN_00877	135.865
KPN_00878	341.518
KPN_00879	76.288
KPN_00880	66.694
KPN_00881	50.446
KPN_00882	123.64
KPN_00883	133.698
KPN_00884	118.688
KPN_00885	274.979
KPN_00886	283.025
KPN_00887	212.927
KPN_00888	187.704
KPN_00889	116.367
KPN_00890	196.06
KPN_00891	156.755
KPN_00892	280.395
KPN_00893	180.895
KPN_00894	150.875
KPN_00895	133.234
KPN_00896	185.692
KPN_00897	172.848
KPN_00898	126.116
KPN_00899	226.854
KPN_00900	172.848
KPN_00901	238.459
KPN_00902	318.771
KPN_00903	249.756
KPN_00904	425.234
KPN_00905	70.408
KPN_00906	131.532
KPN_00907	236.912
KPN_00908	147.47
KPN_00909	140.507
KPN_00910	343.84
KPN_00911	268.48
KPN_00912	428.794
KPN_00913	58.802
KPN_00914	97.798
KPN_00915	681.489
KPN_00916	58.957
KPN_00917	162.016
KPN_00918	404.035
KPN_00919	362.409
KPN_00920	251.303
KPN_00921	230.258
KPN_00922	1045.91
KPN_00923	153.97
KPN_00924	328.21
KPN_00925	510.034
KPN_00926	601.642
KPN_00927	150.101
KPN_00928	207.201
KPN_00929	246.197
KPN_00930	184.918
KPN_00931	570.229
KPN_00932	205.035
KPN_00933	394.75
KPN_00934	122.092
KPN_00935	369.527
KPN_00936	317.069
KPN_00937	169.289
KPN_00938	2389.081
KPN_00939	193.12
KPN_00940	302.214
KPN_00941	428.175
KPN_00942	225.616
KPN_00943	196.524
KPN_00944	38.067
KPN_00945	186.311
KPN_00946	218.343
KPN_00947	187.239
KPN_00948	198.381
KPN_00949	285.347
KPN_00950	159.231
KPN_00951	1086.607
KPN_00952	427.246
KPN_00953	167.123
KPN_00954	164.337
KPN_00955	325.116
KPN_00956	232.424
KPN_00957	12.379
KPN_00958	245.887
KPN_00959	396.607
KPN_00960	189.715
KPN_00961	459.587
KPN_00962	68.706
KPN_00963	149.173
KPN_00964	176.562
KPN_00965	172.384
KPN_00966	179.193
KPN_00967	300.357
KPN_00968	641.875
KPN_00969	112.808
KPN_00970	107.701
KPN_00971	148.863
KPN_00972	127.508
KPN_00973	78.764
KPN_00974	252.077
KPN_00975	138.495
KPN_00976	262.29
KPN_00977	426.937
KPN_00978	464.539
KPN_00979	258.731
KPN_00980	402.023
KPN_00981	137.722
KPN_00982	78.3
KPN_00983	173.622
KPN_00984	422.14
KPN_00985	113.272
KPN_00986	3770.939
KPN_00987	126.271
KPN_00988	110.177
KPN_00989	342.756
KPN_00990	92.536
KPN_00991	455.255
KPN_00992	116.831
KPN_00993	102.44
KPN_00994	2914.899
KPN_00995	351.577
KPN_00996	525.353
KPN_00997	299.583
KPN_00998	753.6
KPN_00999	205.654
KPN_01000	79.848
KPN_01001	175.634
KPN_01002	74.741
KPN_01003	122.711
KPN_01004	69.015
KPN_01005	78.145
KPN_01006	166.968
KPN_01007	393.667
KPN_01009	14.855
KPN_01010	203.333
KPN_01011	181.05
KPN_01012	347.708
KPN_01013	271.265
KPN_01014	171.92
KPN_01015	151.029
KPN_01016	186.311
KPN_01017	183.68
KPN_01018	201.321
KPN_01019	119.617
KPN_01020	175.788
KPN_01021	294.012
KPN_01022	208.439
KPN_01023	18.105
KPN_01024	42.709
KPN_01025	105.38
KPN_01026	90.37
KPN_01027	313.355
KPN_01028	56.946
KPN_01029	152.732
KPN_01030	41.316
KPN_01031	127.973
KPN_01032	165.575
KPN_01033	60.195
KPN_01034	90.989
KPN_01035	105.225
KPN_01036	48.589
KPN_01037	88.358
KPN_01038	135.71
KPN_01039	154.743
KPN_01040	93.31
KPN_01041	971.942
KPN_01042	365.039
KPN_01043	97.334
