obs.x	obs.y	obs.tot	mean.x	mean.y	mean.diff	var.x	var.y	stderr	df	statistic	pvalue	conf.low	conf.high	alternative	mean.null	conf.level	p.corr	FoldChange	log2.Fold.Change
KPN_00012	34	66	100	344.147058823529	368.19696969697	-24.0499108734403	71011.2201426025	78371.2067599068	57.2364204416829	69.7452159956745	-0.420185446396745	0.67564170124808	-138.211683937123	90.1118621902428	two.sided	0	0.95	0.800526051254809	0.934681942403726	-0.0974525728597683
KPN_00013	34	66	100	178.470588235294	196.166666666667	-17.6960784313725	22487.7112299465	24923.9564102564	32.2341274839993	69.8763785531006	-0.548985805189134	0.584765250806749	-81.9870182150576	46.5948613523125	two.sided	0	0.95	0.742593148526327	0.909790594232595	-0.136393575320594
KPN_00014	34	66	100	4864.67647058824	8576.12121212121	-3711.44474153298	47958579.013369	142956584.723543	1891.17828377372	96.5629667179802	-1.96250389155646	0.0525819108207015	-7465.12467869737	42.2351956314136	two.sided	0	0.95	0.229299585874968	0.567235041374259	-0.81798143597825
KPN_00015	34	66	100	1024.55882352941	1291.81818181818	-267.25935828877	174870.617647059	953535.597202797	139.967005071677	95.6423267203035	-1.9094454307421	0.0592017888616664	-545.104927957645	10.586211380105	two.sided	0	0.95	0.249968465185456	0.793113797243035	-0.334400213901862
KPN_00016	34	66	100	844.117647058824	631.69696969697	212.420677361854	2325197.56149733	151581.752913753	265.866238547539	35.2335350724894	0.798975750070168	0.429657787127658	-327.188625590298	752.029980314005	two.sided	0	0.95	0.66985907149622	1.33626990084146	0.418211433918822
KPN_00017	34	66	100	463.176470588235	668.893939393939	-205.717468805704	74676.2709447415	32436.003962704	51.8441463970135	48.1952284838433	-3.96799799210417	0.00024022524371981	-309.946204123001	-101.488733488407	two.sided	0	0.95	0.00432488850238616	0.692451289075668	-0.530215507452154
KPN_00018	34	66	100	3177.20588235294	417.757575757576	2759.44830659537	34709956.956328	167203.078787879	1011.63949454954	33.1638826433413	2.72769926585762	0.0101180142465005	701.638589139196	4817.25802405153	two.sided	0	0.95	0.0687179276474326	7.60538184517968	2.9270206834945
KPN_00020	34	66	100	834.352941176471	700.530303030303	133.822638146168	28258.9625668449	25680.3144522145	34.9319571648481	64.0078682072779	3.83095162732058	0.000293347721040547	64.0381966451615	203.607079647174	two.sided	0	0.95	0.00494289735803447	1.19103047729311	0.252210330815009
KPN_00021	34	66	100	3434.76470588235	3176.45454545455	258.310160427808	2351612.91265597	1788132.74405594	310.254743768465	59.2973499363295	0.832574410596531	0.408425556942671	-362.443017448924	879.06333830454	two.sided	0	0.95	0.66985907149622	1.08132027602833	0.112793897912719
KPN_00022	34	66	100	595.117647058824	651.5	-56.3823529411765	57866.3493761141	128398.869230769	60.3936160933096	91.1173076742705	-0.933581338366366	0.352987297471548	-176.34477152214	63.5800656397876	two.sided	0	0.95	0.66985907149622	0.913457631709629	-0.130590280035623
