reaction	linear_coefficient
2AGPEAT160	[0.13923380152602546, 0.1405050995189543, 0.1416209694505539, 0.029257842160621876, 0.14108244233242298, 0.019608754955033586, 0.14105254942600454, 0.017030953428821983, 0.14523807199712813, 0.016444482312090256, 0.14311092509344628, 0.008060048280642641, 0.14034529221451575, 0.02985738254960907, 0.1386630016596634, 0.012250925201025279, 0.13886115648357264, 0.01895014785158802, 0.14331671454468384, 0.019068753226113382, 0.14204237876646914, 0.02760870443920679, 0.13763681137080647, 0.019602275545111427, 0.1435161170220192, 0.025545425497294428, 0.1346624107210297, 0.019545214964245317, 0.14228743046008366, 0.029005621718880173, 0.14368212429348684, 0.02273172286521902, 0.13888499715667268, 0.14117450196896697, 0.015681389368146226, 0.14302699779305128, 0.014508283729206439, 0.13816361380097641, 0.1417553404187831, 0.14023964037104858, 0.13299441052014235, 0.14011354625427747, 0.1422403241325725, 0.014083246552689027, 0.1395656092989777, 0.022761320279701198, 0.14228396952228597, 0.019365230041562202, 0.1415721385389743, 0.14207051406486976, 0.011320329631699159, 0.14046701916442833, 0.028867017385040303, 0.1364315767500667, 0.019082935075156387, 0.1445112537395029, 0.014391086470964957, 0.14282099519204045, 0.03835425730454294, 0.14049096243849338, 0.13615873958446792, 0.14216200316144745, 0.1422477559924709, 0.025891773613137097, 0.14181583082840568, 0.03424579262099962]
2AGPEAT161	[0.13923380152602546, 0.1405050995189543, 0.1416209694505539, 0.029257842160621876, 0.14108244233242298, 0.019608754955033586, 0.14105254942600454, 0.017030953428821983, 0.14523807199712813, 0.016444482312090256, 0.14311092509344628, 0.008060048280642641, 0.14034529221451575, 0.02985738254960907, 0.1386630016596634, 0.012250925201025279, 0.13886115648357264, 0.01895014785158802, 0.14331671454468384, 0.019068753226113382, 0.14204237876646914, 0.02760870443920679, 0.13763681137080647, 0.019602275545111427, 0.1435161170220192, 0.025545425497294428, 0.1346624107210297, 0.019545214964245317, 0.14228743046008366, 0.029005621718880173, 0.14368212429348684, 0.02273172286521902, 0.13888499715667268, 0.14117450196896697, 0.015681389368146226, 0.14302699779305128, 0.014508283729206439, 0.13816361380097641, 0.1417553404187831, 0.14023964037104858, 0.13299441052014235, 0.14011354625427747, 0.1422403241325725, 0.014083246552689027, 0.1395656092989777, 0.022761320279701198, 0.14228396952228597, 0.019365230041562202, 0.1415721385389743, 0.14207051406486976, 0.011320329631699159, 0.14046701916442833, 0.028867017385040303, 0.1364315767500667, 0.019082935075156387, 0.1445112537395029, 0.014391086470964957, 0.14282099519204045, 0.03835425730454294, 0.14049096243849338, 0.13615873958446792, 0.14216200316144745, 0.1422477559924709, 0.025891773613137097, 0.14181583082840568, 0.03424579262099962]
2AGPEAT180	[0.13923380152602546, 0.1405050995189543, 0.1416209694505539, 0.029257842160621876, 0.14108244233242298, 0.019608754955033586, 0.14105254942600454, 0.017030953428821983, 0.14523807199712813, 0.016444482312090256, 0.14311092509344628, 0.008060048280642641, 0.14034529221451575, 0.02985738254960907, 0.1386630016596634, 0.012250925201025279, 0.13886115648357264, 0.01895014785158802, 0.14331671454468384, 0.019068753226113382, 0.14204237876646914, 0.02760870443920679, 0.13763681137080647, 0.019602275545111427, 0.1435161170220192, 0.025545425497294428, 0.1346624107210297, 0.019545214964245317, 0.14228743046008366, 0.029005621718880173, 0.14368212429348684, 0.02273172286521902, 0.13888499715667268, 0.14117450196896697, 0.015681389368146226, 0.14302699779305128, 0.014508283729206439, 0.13816361380097641, 0.1417553404187831, 0.14023964037104858, 0.13299441052014235, 0.14011354625427747, 0.1422403241325725, 0.014083246552689027, 0.1395656092989777, 0.022761320279701198, 0.14228396952228597, 0.019365230041562202, 0.1415721385389743, 0.14207051406486976, 0.011320329631699159, 0.14046701916442833, 0.028867017385040303, 0.1364315767500667, 0.019082935075156387, 0.1445112537395029, 0.014391086470964957, 0.14282099519204045, 0.03835425730454294, 0.14049096243849338, 0.13615873958446792, 0.14216200316144745, 0.1422477559924709, 0.025891773613137097, 0.14181583082840568, 0.03424579262099962]
12DGR140tipp	[0.25072384129953135, 0.25022368916685855, 0.25518309566566794, 0.00744364800543443, 0.2529387774402788, 0.007869059653409675, 0.25248823946024396, 0.007281430091347044, 0.2584283887429009, 0.006543877708268694, 0.2528358869989747, 0.000942735886518684, 0.253868242536994, 0.004619320844855911, 0.25225217506571174, 0.0023253102593790657, 0.250611998771964, 0.009338335070492346, 0.2562246061255526, 0.01024831651562178, 0.252265104277903, 0.006143611707941027, 0.2531787718119777, 0.005348118810767433, 0.25218519065528555, 0.008508476494311985, 0.25436744390462057, 0.004849223861763341, 0.2534608213373907, 0.008244088354074886, 0.25316600512931253, 0.008840617758204834, 0.2511467048873314, 0.2547239134536069, 0.007439332038926326, 0.25529420332234587, 0.004579666346982046, 0.2536170684529433, 0.2557095644501353, 0.251588199998195, 0.24954270287645108, 0.2530260406646565, 0.25683426990681774, 0.006041045216316124, 0.25072260391288065, 0.009252840321070247, 0.2541327260622839, 0.011544319502444764, 0.25685816696466196, 0.2561692994392357, 0.0046425211553970435, 0.25499767544466, 0.008373549768412574, 0.2511499719877322, 0.006622894041974097, 0.25217442301236914, 0.004552058492404052, 0.2569209304974298, 0.009847203335682352, 0.25240172956688134, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.010740195203476575, 0.25553695707108964, 0.008217744675092557]
2AGPEAT181	[0.13923380152602546, 0.1405050995189543, 0.1416209694505539, 0.029257842160621876, 0.14108244233242298, 0.019608754955033586, 0.14105254942600454, 0.017030953428821983, 0.14523807199712813, 0.016444482312090256, 0.14311092509344628, 0.008060048280642641, 0.14034529221451575, 0.02985738254960907, 0.1386630016596634, 0.012250925201025279, 0.13886115648357264, 0.01895014785158802, 0.14331671454468384, 0.019068753226113382, 0.14204237876646914, 0.02760870443920679, 0.13763681137080647, 0.019602275545111427, 0.1435161170220192, 0.025545425497294428, 0.1346624107210297, 0.019545214964245317, 0.14228743046008366, 0.029005621718880173, 0.14368212429348684, 0.02273172286521902, 0.13888499715667268, 0.14117450196896697, 0.015681389368146226, 0.14302699779305128, 0.014508283729206439, 0.13816361380097641, 0.1417553404187831, 0.14023964037104858, 0.13299441052014235, 0.14011354625427747, 0.1422403241325725, 0.014083246552689027, 0.1395656092989777, 0.022761320279701198, 0.14228396952228597, 0.019365230041562202, 0.1415721385389743, 0.14207051406486976, 0.011320329631699159, 0.14046701916442833, 0.028867017385040303, 0.1364315767500667, 0.019082935075156387, 0.1445112537395029, 0.014391086470964957, 0.14282099519204045, 0.03835425730454294, 0.14049096243849338, 0.13615873958446792, 0.14216200316144745, 0.1422477559924709, 0.025891773613137097, 0.14181583082840568, 0.03424579262099962]
3OAS121	[0.25072384129953135, 0.25022368916685855, 0.24909941033271543, 0.005886993841997718, 0.25240121212161254, 0.0038995223931483536, 0.2438498138761944, 0.0032715260793287873, 0.25438648505751, 0.0034891457092934464, 0.2528358869989747, 0.004082001058623619, 0.2527546603871971, 0.0110631692310185, 0.2408361777384707, 0.006979777352013246, 0.24765244205342987, 0.005843130422821192, 0.25401499333327565, 0.0058230315103779745, 0.24164468541352005, 0.0131050039832991, 0.2519849028490262, 0.003760252165125, 0.24846756445204224, 0.005253008531958651, 0.2521016843432734, 0.004330389224429467, 0.2501125104391211, 0.004539110771704204, 0.2435141580441959, 0.002230059700847601, 0.2508214244480851, 0.25361289874741916, 0.001611222086593904, 0.24349175351029181, 0.0028945682367909303, 0.253575249046912, 0.24972336248684238, 0.24953850490846283, 0.24887324379987388, 0.2530260406646565, 0.25083955188288326, 0.003459190962152692, 0.244413243662546, 0.004577731604952752, 0.2541327260622839, 0.004176551848640994, 0.24384918516925944, 0.25402299915188126, 0.002897755406889536, 0.25090818925497266, 0.004925596685994164, 0.24840201236116002, 0.005043640720904805, 0.2501128999895339, 0.0029613942559743884, 0.2569209304974298, 0.006030685181381345, 0.25201388863566654, 0.25165564376795646, 0.2529670219325524, 0.24953850490846283, 0.005382412724014869, 0.24645099079912264, 0.003974427172315076]
2AGPG120tipp	[0.25072384129953135, 0.25022368916685855, 0.25392143782537613, 0.08748512221998433, 0.25240121212161254, 0.13384696981097963, 0.25209805329451324, 0.02967006082511564, 0.25438648505751, 0.05764245270898411, 0.2528358869989747, 0.08912586639881015, 0.2527546603871971, 0.20489512529626802, 0.2500103414665788, 0.03708265527339687, 0.24765244205342987, 0.27391284402545696, 0.2562246061255526, 0.08719045781282563, 0.2511585542252725, 0.6403655516077401, 0.2531787718119777, 0.03623823224791907, 0.2516546968349326, 0.10426574127267646, 0.2521016843432734, 0.14900742784498017, 0.2534608213373907, 0.09332198371330577, 0.25316600512931253, 0.16003480035384154, 0.2511467048873314, 0.25361289874741916, 0.12410635320701956, 0.25231334781135056, 0.06195520200129419, 0.2536170684529433, 0.24972336248684238, 0.251588199998195, 0.24887324379987388, 0.2530260406646565, 0.2549047636168521, 0.023048323452252262, 0.25072260391288065, 0.02814121925452987, 0.2541327260622839, 0.042458734122733016, 0.25685816696466196, 0.25402299915188126, 0.01778474949127733, 0.25499767544466, 0.05072024114684712, 0.2511499719877322, 0.03562494443822116, 0.25217442301236914, 0.027270335611089006, 0.2569209304974298, 0.0454420767339591, 0.25201388863566654, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.050405068720781786, 0.2552863426736539, 0.07470822186296565]
2AGPG140tipp	[0.25072384129953135, 0.25022368916685855, 0.25392143782537613, 0.08748512221998433, 0.25240121212161254, 0.13384696981097963, 0.25209805329451324, 0.02967006082511564, 0.25438648505751, 0.05764245270898411, 0.2528358869989747, 0.08912586639881015, 0.2527546603871971, 0.20489512529626802, 0.2500103414665788, 0.03708265527339687, 0.24765244205342987, 0.27391284402545696, 0.2562246061255526, 0.08719045781282563, 0.2511585542252725, 0.6403655516077401, 0.2531787718119777, 0.03623823224791907, 0.2516546968349326, 0.10426574127267646, 0.2521016843432734, 0.14900742784498017, 0.2534608213373907, 0.09332198371330577, 0.25316600512931253, 0.16003480035384154, 0.2511467048873314, 0.25361289874741916, 0.12410635320701956, 0.25231334781135056, 0.06195520200129419, 0.2536170684529433, 0.24972336248684238, 0.251588199998195, 0.24887324379987388, 0.2530260406646565, 0.2549047636168521, 0.023048323452252262, 0.25072260391288065, 0.02814121925452987, 0.2541327260622839, 0.042458734122733016, 0.25685816696466196, 0.25402299915188126, 0.01778474949127733, 0.25499767544466, 0.05072024114684712, 0.2511499719877322, 0.03562494443822116, 0.25217442301236914, 0.027270335611089006, 0.2569209304974298, 0.0454420767339591, 0.25201388863566654, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.050405068720781786, 0.2552863426736539, 0.07470822186296565]
12DGR141tipp	[0.25072384129953135, 0.25022368916685855, 0.25518309566566794, 0.00744364800543443, 0.2529387774402788, 0.007869059653409675, 0.25248823946024396, 0.007281430091347044, 0.2584283887429009, 0.006543877708268694, 0.2528358869989747, 0.000942735886518684, 0.253868242536994, 0.004619320844855911, 0.25225217506571174, 0.0023253102593790657, 0.250611998771964, 0.009338335070492346, 0.2562246061255526, 0.01024831651562178, 0.252265104277903, 0.006143611707941027, 0.2531787718119777, 0.005348118810767433, 0.25218519065528555, 0.008508476494311985, 0.25436744390462057, 0.004849223861763341, 0.2534608213373907, 0.008244088354074886, 0.25316600512931253, 0.008840617758204834, 0.2511467048873314, 0.2547239134536069, 0.007439332038926326, 0.25529420332234587, 0.004579666346982046, 0.2536170684529433, 0.2557095644501353, 0.251588199998195, 0.24954270287645108, 0.2530260406646565, 0.25683426990681774, 0.006041045216316124, 0.25072260391288065, 0.009252840321070247, 0.2541327260622839, 0.011544319502444764, 0.25685816696466196, 0.2561692994392357, 0.0046425211553970435, 0.25499767544466, 0.008373549768412574, 0.2511499719877322, 0.006622894041974097, 0.25217442301236914, 0.004552058492404052, 0.2569209304974298, 0.009847203335682352, 0.25240172956688134, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.010740195203476575, 0.25553695707108964, 0.008217744675092557]
12DGR160tipp	[0.25072384129953135, 0.25022368916685855, 0.25518309566566794, 0.00744364800543443, 0.2529387774402788, 0.007869059653409675, 0.25248823946024396, 0.007281430091347044, 0.2584283887429009, 0.006543877708268694, 0.2528358869989747, 0.000942735886518684, 0.253868242536994, 0.004619320844855911, 0.25225217506571174, 0.0023253102593790657, 0.250611998771964, 0.009338335070492346, 0.2562246061255526, 0.01024831651562178, 0.252265104277903, 0.006143611707941027, 0.2531787718119777, 0.005348118810767433, 0.25218519065528555, 0.008508476494311985, 0.25436744390462057, 0.004849223861763341, 0.2534608213373907, 0.008244088354074886, 0.25316600512931253, 0.008840617758204834, 0.2511467048873314, 0.2547239134536069, 0.007439332038926326, 0.25529420332234587, 0.004579666346982046, 0.2536170684529433, 0.2557095644501353, 0.251588199998195, 0.24954270287645108, 0.2530260406646565, 0.25683426990681774, 0.006041045216316124, 0.25072260391288065, 0.009252840321070247, 0.2541327260622839, 0.011544319502444764, 0.25685816696466196, 0.2561692994392357, 0.0046425211553970435, 0.25499767544466, 0.008373549768412574, 0.2511499719877322, 0.006622894041974097, 0.25217442301236914, 0.004552058492404052, 0.2569209304974298, 0.009847203335682352, 0.25240172956688134, 0.25165564376795646, 0.2529670219325524, 0.251588199998195, 0.010740195203476575, 0.25553695707108964, 0.008217744675092557]
