reaction	linear_coefficient
SBTptspp	0.5
ACGAptspp	0.5
2INSD	0.5
ASNNpp	0.5
GLUNpp	0.5
2MAHMP	0.5
TDP	0.5
ASNS1	0.5
3HAD160	0.5
3HAD140	0.5
3HAD80	0.5
3HAD100	0.5
3HAD161	0.5
3HAD121	0.5
3HAD120	0.5
3HAD180	0.5
3HAD40	0.5
3HAD141	0.5
3HAD181	0.5
3HAD60	0.5
ASNS2	0.5
ACGK	0.5
T2DECAI	0.5
ACGS	0.5
3HCINNMH	0.5
3HPPPNH	0.5
ASNTRS	0.5
ACLS	0.5
ilvg	0.5
ACHBS	0.5
ASNt2rpp	0.5
3OADPCOAT	0.5
HXCT	0.5
BUTCT	0.5
ASO3t8pp	0.5
PPAKr	0.5
TRE6PP	0.5
ACKr	0.5
3OAR100	0.5
3OAR121	0.5
3OAR80	0.5
3OAR120	0.5
3OAR181	0.5
3OAR160	0.5
3OAR161	0.5
3OAR40	0.5
3OAR141	0.5
3OAR140	0.5
3OAR60	0.5
3OAR180	0.5
GART	0.5
3OAS181	0.5
3OAS140	0.5
3OAS180	0.5
KAS14	0.5
PYK	0.5
3OAS160	0.5
3OAS80	0.5
3OAS100	0.5
3OAS120	0.5
3OAS60	0.5
ASP1DC	0.5
ASPCT	0.5
ACLDC	0.5
3OAS121	0.5
3OAS141	0.5
MACPD	0.5
3OAS161	0.5
HSDy	0.5
ASPK	0.5
3OXCOAT	0.5
ACACT1r	0.5
ACMAMUT	0.5
ACOAD6f	0.5
ACOAD7f	0.5
ACOAD1f	0.5
ACOAD8f	0.5
ACOAD2f	0.5
ACOAD4f	0.5
ACOAD5f	0.5
ACOAD3f	0.5
ASPO4	0.5
ASPO3	0.5
ASPO5	0.5
ASPO6	0.5
KAS15	0.5
NACODA	0.5
ACODA	0.5
ASPT	0.5
ASPTA	0.5
PHETA1	0.5
TYRTA	0.5
ACONMT	0.5
ACONTb	0.5
ACONTa	0.5
ASPTRS	0.5
ACOTA	0.5
SDPTA	0.5
SOTA	0.5
ASPabcpp	0.5
GLUabcpp	0.5
ACPS1	0.5
ASPt2_2pp	0.5
OROTt2_2pp	0.5
FUMt2_2pp	0.5
MALt2_2pp	0.5
SUCCt2_2pp	0.5
MALDt2_2pp	0.5
ACS	0.5
SUCCt2_3pp	0.5
ASPt2_3pp	0.5
MALt2_3pp	0.5
SUCFUMtpp	0.5
FUMt2_3pp	0.5
CYStpp	0.5
ACSERtpp	0.5
GLUt2rpp	0.5
ASPt2pp	0.5
ACTD	0.5
ACTDa	0.5
AST	0.5
GLYCLTt4pp	0.5
ACt4pp	0.5
ADA	0.5
DADA	0.5
DSERDHr	0.5
ATHRDHr	0.5
LSERDHr	0.5
ADCL	0.5
ADCPS1	0.5
ADCS	0.5
ATPPRT	0.5
GLUN	0.5
ATPS4rpp	0.5
DHBD	0.5
ADCYRS	0.5
DHBS	0.5
ADD	0.5
DHCINDO	0.5
HPPPNDO	0.5
XANt2pp	0.5
ADEt2rpp	0.5
GUAt2pp	0.5
DHDPRy	0.5
ADNK1	0.5
NDPK2	0.5
NDPK1	0.5
NDPK6	0.5
NDPK3	0.5
NDPK8	0.5
ADK4	0.5
NDPK5	0.5
DADK	0.5
ADK3	0.5
NDPK4	0.5
ADK1	0.5
NDPK7	0.5
DHDPS	0.5
ADMDC	0.5
ADNCYC	0.5
BETALDHx	0.5
BETALDHy	0.5
INSH	0.5
CYTDH	0.5
XTSNH	0.5
URIH	0.5
ADNUC	0.5
BGLK	0.5
DHEDAA	0.5
DHFR	0.5
