reaction	linear_coefficient
LIPACabcpp	1.0
PGP120abcpp	1.0
PA181abcpp	1.0
PGP140abcpp	1.0
PA180abcpp	1.0
PG160abcpp	1.0
PGP141abcpp	1.0
PG161abcpp	1.0
DXPRIi	1.0
ALDD2y	1.0
ALDD3y	1.0
DXPS	1.0
XYLK	1.0
DXYLK	1.0
CPC2MT	1.0
RPI	1.0
ALLPI	1.0
CPC3MT	1.0
E4PD	1.0
ALLTAMH	1.0
EAR121x	1.0
EAR120y	1.0
EAR140y	1.0
EAR181y	1.0
EAR180y	1.0
EAR141x	1.0
EAR80x	1.0
EAR160y	1.0
EAR120x	1.0
EAR161y	1.0
EAR180x	1.0
EAR121y	1.0
EAR60x	1.0
EAR161x	1.0
EAR80y	1.0
EAR160x	1.0
EAR40y	1.0
EAR40x	1.0
EAR60y	1.0
EAR141y	1.0
EAR100x	1.0
EAR100y	1.0
EAR140x	1.0
EAR181x	1.0
CPC4MT	1.0
CPC5MT	1.0
ALLTN	1.0
CPC6MT	1.0
ALLULPE	1.0
ECAtpp	1.0
CPC6R	1.0
CPC8MM	1.0
ALPATG160pp	1.0
ALPATE160pp	1.0
CPPPGO	1.0
ECOAH7	1.0
HACD8i	1.0
ECOAH5	1.0
HACD4i	1.0
CTECOAI7	1.0
ECOAH3	1.0
HACD7i	1.0
CTECOAI8	1.0
HACD2i	1.0
ECOAH1	1.0
HACD5i	1.0
HACD6i	1.0
ECOAH4	1.0
CTECOAI6	1.0
ECOAH8	1.0
ECOAH2	1.0
HACD3i	1.0
ECOAH6	1.0
HACD1i	1.0
CPPPGO2	1.0
ALR2	1.0
DKGLCNR1	1.0
EDA	1.0
EDD	1.0
CRNDabcpp	1.0
PROabcpp	1.0
CTBTabcpp	1.0
CRNabcpp	1.0
EDTXS1	1.0
EDTXS2	1.0
EDTXS4	1.0
ALR4x	1.0
GLYCDx	1.0
LALDO2x	1.0
EDTXS3	1.0
PROt2rpp	1.0
CRNDt2rpp	1.0
CTBTt2rpp	1.0
CRNt2rpp	1.0
ALTRH	1.0
ENO	1.0
AMALT2	1.0
AMALT3	1.0
AMALT4	1.0
AMALT1	1.0
CS	1.0
AMANAPEr	1.0
ENTCS	1.0
AMAOTr	1.0
ENTERES	1.0
ENTERES2	1.0
CSND	1.0
AMMQLT8	1.0
OMBZLM	1.0
ETHAAL	1.0
AMPMS2	1.0
ETHAt	1.0
CSNt2pp	1.0
AMPN	1.0
CTPS2	1.0
FEROpp	1.0
CU1Opp	1.0
F6PA	1.0
AMPTASECG	1.0
AMPTASEPG	1.0
MN6PP	1.0
R5PP	1.0
G6PP	1.0
F6PP	1.0
G3PT	1.0
CU1abcpp	1.0
CYANST	1.0
MAN6Pt6_2pp	1.0
F6Pt6_2pp	1.0
G6Pt6_2pp	1.0
GAM6Pt6_2pp	1.0
FA100ACPHi	1.0
FA80ACPHi	1.0
FA160ACPHi	1.0
FA120ACPHi	1.0
FA140ACPHi	1.0
FA161ACPHi	1.0
FA141ACPHi	1.0
THZPSN	1.0
CYANSTpp	1.0
FACOAE181	1.0
FACOAE180	1.0
FACOAE100	1.0
FACOAE140	1.0
FACOAE60	1.0
FACOAE160	1.0
FACOAE80	1.0
FACOAE161	1.0
FACOAE120	1.0
FACOAE141	1.0
LALGP	1.0
CYNTt2pp	1.0
ANHMK	1.0
CYS	1.0
CYSTS	1.0
FACOAL80t2pp	1.0
FACOAL160t2pp	1.0
FACOAL120t2pp	1.0
FACOAL141t2pp	1.0
FACOAL100t2pp	1.0
FACOAL180t2pp	1.0
FACOAL181t2pp	1.0
FACOAL161t2pp	1.0
FACOAL60t2pp	1.0
FACOAL140t2pp	1.0
ANPRT	1.0
ANS	1.0
FLVRx	1.0
FE3Ri	1.0
FMNRx	1.0
FADRx	1.0
FLVR	1.0
FMNRx2	1.0
SULR	1.0
FADRx2	1.0
